id;pseudoID;Name;eMailIG;eMailKG;PhoneSystem;studyGroup;studyGroup_blind
14;935A0L72;Participant_0214;ig_214@study.com;;iOS;1;91
14;53J2D54I;Participant_0414;ig_414@study.com;;Android;1;91
15;3QK2IAGL;Participant_0015;;cg_15@study.com;Android;2;24
15;58KXO9T7;Participant_0215;;cg_215@study.com;iOS;2;24
15;E8G8JDP0;Participant_0415;;cg_415@study.com;iOS;2;24
16;LVSNUJZA;Participant_0016;;cg_16@study.com;Android;2;24
16;7TZ0YNCX;Participant_0216;;cg_216@study.com;Android;2;24
16;LL4ZKLOO;Participant_0416;;cg_416@study.com;Android;2;24
17;KEP7Y6WK;Participant_0017;;cg_17@study.com;Android;2;24
17;TAKPUXQP;Participant_0217;;cg_217@study.com;iOS;2;24
17;HR62GDSW;Participant_0417;;cg_417@study.com;iOS;2;24
18;M31YIHAI;Participant_0018;ig_18@study.com;;iOS;1;91
18;R4COWGZR;Participant_0218;ig_218@study.com;;Android;1;91
18;IXA11DPG;Participant_0418;ig_418@study.com;;Android;1;91
19;8SBI4Q2Y;Participant_0019;;cg_19@study.com;Android;2;24
19;9V86WZS3;Participant_0219;;cg_219@study.com;Android;2;24
19;T60RJIW1;Participant_0419;;cg_419@study.com;Android;2;24
20;SWJCKJLT;Participant_0020;;cg_20@study.com;Android;2;24
20;EIYZCOTO;Participant_0220;;cg_220@study.com;iOS;2;24
20;HP6VZ41N;Participant_0420;;cg_420@study.com;Android;2;24
21;AM148P0T;Participant_0021;;cg_21@study.com;Android;2;24
21;VHHPBMYO;Participant_0221;;cg_221@study.com;Android;2;24
21;FQEWAOUA;Participant_0421;;cg_421@study.com;iOS;2;24
22;XEQBNHL1;Participant_0022;;cg_22@study.com;Android;2;24
22;N13JCAT9;Participant_0222;;cg_222@study.com;Android;2;24
22;MX2X18HA;Participant_0422;;cg_422@study.com;Android;2;24
23;FEYUHZ1G;Participant_0023;;cg_23@study.com;Android;2;24
23;V0E38DAL;Participant_0223;;cg_223@study.com;Android;2;24
23;Y8OZCYWD;Participant_0423;;cg_423@study.com;Android;2;24
24;14VE92MP;Participant_0024;;cg_24@study.com;Android;2;24
24;NSM43D8W;Participant_0224;;cg_224@study.com;Android;2;24
24;3ZP08J3T;Participant_0424;;cg_424@study.com;Android;2;24
25;RP0J43D5;Participant_0025;;cg_25@study.com;Android;2;24
25;IQVNB4GH;Participant_0225;;cg_225@study.com;Android;2;24
25;2M5ZJA8D;Participant_0425;;cg_425@study.com;Android;2;24
26;ZR1YXR2D;Participant_0026;;cg_26@study.com;iOS;2;24
26;HYLURTP0;Participant_0226;;cg_226@study.com;Android;2;24
26;LZJJEGET;Participant_0426;;cg_426@study.com;iOS;2;24
27;1GHR09SK;Participant_0027;ig_27@study.com;;Android;1;91
27;DGIGATJ9;Participant_0227;ig_227@study.com;;iOS;1;91
27;TZE5R5UQ;Participant_0427;ig_427@study.com;;iOS;1;91
28;PGB7R3OC;Participant_0028;;cg_28@study.com;iOS;2;24
28;WBFUK9E1;Participant_0228;;cg_228@study.com;iOS;2;24
28;V2ISQP49;Participant_0428;;cg_428@study.com;Android;2;24
29;KWV08HHX;Participant_0029;;cg_29@study.com;Android;2;24
29;FGCAQVKI;Participant_0229;;cg_229@study.com;Android;2;24
29;ZZQY72WX;Participant_0429;;cg_429@study.com;Android;2;24
30;7PTX63CF;Participant_0030;;cg_30@study.com;iOS;2;24
30;L0UKEYZ7;Participant_0230;;cg_230@study.com;iOS;2;24
30;SRCBPLJD;Participant_0430;;cg_430@study.com;iOS;2;24
31;84U89YJB;Participant_0031;ig_31@study.com;;Android;1;91
31;1QX6GVWR;Participant_0231;ig_231@study.com;;Android;1;91
31;DMLY4LYK;Participant_0431;ig_431@study.com;;Android;1;91
32;83TQLL8O;Participant_0032;;cg_32@study.com;Android;2;24
32;S9XTOGN1;Participant_0232;;cg_232@study.com;iOS;2;24
32;W1HT7PZE;Participant_0432;;cg_432@study.com;Android;2;24
33;9VIFTTD9;Participant_0033;ig_33@study.com;;iOS;1;91
33;6QE3RZSJ;Participant_0233;ig_233@study.com;;iOS;1;91
33;49ITN7S5;Participant_0433;ig_433@study.com;;iOS;1;91
34;5J2O7S3K;Participant_0034;ig_34@study.com;;Android;1;91
34;KV9RFTMT;Participant_0234;ig_234@study.com;;Android;1;91
34;TQLGZUI1;Participant_0434;ig_434@study.com;;iOS;1;91
35;B0Z3NX39;Participant_0035;ig_35@study.com;;Android;1;91
35;RBSV55PS;Participant_0235;ig_235@study.com;;Android;1;91
35;Q0OXFQ8M;Participant_0435;ig_435@study.com;;iOS;1;91
36;YX444NLZ;Participant_0036;;cg_36@study.com;iOS;2;24
36;15BCW790;Participant_0236;;cg_236@study.com;iOS;2;24
36;PDW5PY6B;Participant_0436;;cg_436@study.com;Android;2;24
37;2KNFTU2G;Participant_0037;ig_37@study.com;;iOS;1;91
37;C5WI6FQJ;Participant_0237;ig_237@study.com;;iOS;1;91
37;JA26YFPM;Participant_0437;ig_437@study.com;;Android;1;91
38;VXPJ4HNR;Participant_0038;;cg_38@study.com;Android;2;24
38;IUU9K9XJ;Participant_0238;;cg_238@study.com;iOS;2;24
38;UY0BVR6K;Participant_0438;;cg_438@study.com;Android;2;24
39;2VMWWYZX;Participant_0039;;cg_39@study.com;Android;2;24
39;4W6XLPU0;Participant_0239;;cg_239@study.com;Android;2;24
39;DK0GET8T;Participant_0439;;cg_439@study.com;Android;2;24
40;63J3R30M;Participant_0040;ig_40@study.com;;iOS;1;91
40;E8F84098;Participant_0240;ig_240@study.com;;Android;1;91
40;2N2ATQYY;Participant_0440;ig_440@study.com;;iOS;1;91
41;V37DIA5U;Participant_0041;;cg_41@study.com;Android;2;24
41;6HC36KOF;Participant_0241;;cg_241@study.com;Android;2;24
41;8KRD5EQY;Participant_0441;;cg_441@study.com;Android;2;24
42;08P0FODR;Participant_0042;ig_42@study.com;;Android;1;91
42;O8BNP84D;Participant_0242;ig_242@study.com;;Android;1;91
42;YT9MOGE4;Participant_0442;ig_442@study.com;;Android;1;91
43;QXXVA2IE;Participant_0043;;cg_43@study.com;Android;2;24
43;UC1HH5LF;Participant_0243;;cg_243@study.com;Android;2;24
43;6A4FEJGX;Participant_0443;;cg_443@study.com;Android;2;24
44;AA2ILGB0;Participant_0044;;cg_44@study.com;Android;2;24
44;S0R2SDS8;Participant_0244;;cg_244@study.com;iOS;2;24
44;B25SQ8CR;Participant_0444;;cg_444@study.com;Android;2;24
45;OYR6CCVC;Participant_0045;;cg_45@study.com;iOS;2;24
45;JWTL9TQV;Participant_0245;;cg_245@study.com;iOS;2;24
45;DZ4X1ZHQ;Participant_0445;;cg_445@study.com;Android;2;24
46;IMQODPXN;Participant_0046;ig_46@study.com;;iOS;1;91
46;F7C3DD03;Participant_0246;ig_246@study.com;;Android;1;91
46;UVULEMX1;Participant_0446;ig_446@study.com;;Android;1;91
47;5Z8VMUHX;Participant_0047;ig_47@study.com;;Android;1;91
47;ID4N1U34;Participant_0247;ig_247@study.com;;iOS;1;91
47;93WXA73J;Participant_0447;ig_447@study.com;;Android;1;91
48;GZLMA5UO;Participant_0048;ig_48@study.com;;Android;1;91
48;FWB0HPMN;Participant_0248;ig_248@study.com;;Android;1;91
48;Z1UDBFWY;Participant_0448;ig_448@study.com;;iOS;1;91
49;JXRPJ1EP;Participant_0049;ig_49@study.com;;Android;1;91
49;KYRYBOVA;Participant_0249;ig_249@study.com;;Android;1;91
49;KHEJLA0G;Participant_0449;ig_449@study.com;;Android;1;91
50;NZS43C5B;Participant_0050;;cg_50@study.com;Android;2;24
50;A75UUZPE;Participant_0250;;cg_250@study.com;Android;2;24
50;AL2W37D4;Participant_0450;;cg_450@study.com;Android;2;24
51;IVSOLMLG;Participant_0051;;cg_51@study.com;iOS;2;24
51;SES6M033;Participant_0251;;cg_251@study.com;iOS;2;24
51;IFHV1XG1;Participant_0451;;cg_451@study.com;Android;2;24
52;R11Q7UWW;Participant_0052;;cg_52@study.com;iOS;2;24
52;5WFCPKJC;Participant_0252;;cg_252@study.com;Android;2;24
52;SLQC3C54;Participant_0452;;cg_452@study.com;iOS;2;24
53;WSQT26Q3;Participant_0053;;cg_53@study.com;Android;2;24
53;XLRFCD6M;Participant_0253;;cg_253@study.com;iOS;2;24
53;ZSGIPPSF;Participant_0453;;cg_453@study.com;iOS;2;24
54;NKOMV2XC;Participant_0054;;cg_54@study.com;Android;2;24
54;DYK0X65M;Participant_0254;;cg_254@study.com;Android;2;24
54;UFM8ZOV7;Participant_0454;;cg_454@study.com;Android;2;24
55;LN23Y30Y;Participant_0055;ig_55@study.com;;Android;1;91
55;SXPNNGH8;Participant_0255;ig_255@study.com;;iOS;1;91
55;RIEC4D14;Participant_0455;ig_455@study.com;;iOS;1;91
56;5BM1ENF3;Participant_0056;;cg_56@study.com;Android;2;24
56;13FPOYIP;Participant_0256;;cg_256@study.com;Android;2;24
56;K0QTL3Q4;Participant_0456;;cg_456@study.com;Android;2;24
57;N89QKNS8;Participant_0057;ig_57@study.com;;Android;1;91
57;32EJX5TD;Participant_0257;ig_257@study.com;;iOS;1;91
57;44K1J6FP;Participant_0457;ig_457@study.com;;Android;1;91
58;8HQMABSI;Participant_0058;ig_58@study.com;;Android;1;91
58;9NB74X2E;Participant_0258;ig_258@study.com;;Android;1;91
58;K3ZEZQAC;Participant_0458;ig_458@study.com;;Android;1;91
59;J4T0SEKK;Participant_0059;;cg_59@study.com;iOS;2;24
59;BP2QD6VA;Participant_0259;;cg_259@study.com;iOS;2;24
59;SIFPWIOX;Participant_0459;;cg_459@study.com;iOS;2;24
60;D9CSS9TO;Participant_0060;ig_60@study.com;;iOS;1;91
60;QW9JA2M0;Participant_0260;ig_260@study.com;;iOS;1;91
60;W10LBT3G;Participant_0460;ig_460@study.com;;iOS;1;91
61;2QZW3C1Q;Participant_0061;;cg_61@study.com;Android;2;24
61;KBHB7S9T;Participant_0261;;cg_261@study.com;Android;2;24
61;J1GM25LE;Participant_0461;;cg_461@study.com;iOS;2;24
62;N606N9RR;Participant_0062;;cg_62@study.com;iOS;2;24
62;7S20CV3T;Participant_0262;;cg_262@study.com;iOS;2;24
62;LCXLVPYM;Participant_0462;;cg_462@study.com;iOS;2;24
63;B5M9J98C;Participant_0063;ig_63@study.com;;iOS;1;91
63;WN2Y8FV2;Participant_0263;ig_263@study.com;;Android;1;91
63;BC2NNUVY;Participant_0463;ig_463@study.com;;Android;1;91
64;8N1UTOXI;Participant_0064;;cg_64@study.com;Android;2;24
64;E0RNUJJQ;Participant_0264;;cg_264@study.com;iOS;2;24
64;9K6RE4Q6;Participant_0464;;cg_464@study.com;iOS;2;24
65;QDY4LMCT;Participant_0065;ig_65@study.com;;iOS;1;91
65;64Z7W2SE;Participant_0265;ig_265@study.com;;Android;1;91
65;HE2ATN2T;Participant_0465;ig_465@study.com;;Android;1;91
66;WDL9ZS13;Participant_0066;ig_66@study.com;;iOS;1;91
66;C9XQYM52;Participant_0266;ig_266@study.com;;Android;1;91
66;XG8P6BEF;Participant_0466;ig_466@study.com;;Android;1;91
67;FLZM764J;Participant_0067;;cg_67@study.com;Android;2;24
67;WTEKTSG7;Participant_0267;;cg_267@study.com;iOS;2;24
67;FXZV4U3B;Participant_0467;;cg_467@study.com;Android;2;24
68;BXUX1OXR;Participant_0068;ig_68@study.com;;iOS;1;91
68;WK8R2YKC;Participant_0268;ig_268@study.com;;iOS;1;91
68;CPRHVLZ0;Participant_0468;ig_468@study.com;;Android;1;91
69;49ENULQJ;Participant_0069;ig_69@study.com;;Android;1;91
69;IDKNWI5F;Participant_0269;ig_269@study.com;;iOS;1;91
69;LUL1RSRL;Participant_0469;ig_469@study.com;;Android;1;91
70;A8S8HMBR;Participant_0070;;cg_70@study.com;Android;2;24
70;5XQT4P50;Participant_0270;;cg_270@study.com;iOS;2;24
70;1NOUHTCS;Participant_0470;;cg_470@study.com;Android;2;24
71;1K9YE9O2;Participant_0071;;cg_71@study.com;iOS;2;24
71;M71HSSBE;Participant_0271;;cg_271@study.com;Android;2;24
71;LRQVSLWF;Participant_0471;;cg_471@study.com;Android;2;24
72;90KM3TZK;Participant_0072;ig_72@study.com;;iOS;1;91
72;3NY9V20Y;Participant_0272;ig_272@study.com;;Android;1;91
72;AR821UZV;Participant_0472;ig_472@study.com;;Android;1;91
73;GWW4FYB8;Participant_0073;ig_73@study.com;;Android;1;91
73;DALFYO17;Participant_0273;ig_273@study.com;;iOS;1;91
73;50CEHLXS;Participant_0473;ig_473@study.com;;Android;1;91
74;LG6MM1ZX;Participant_0074;ig_74@study.com;;Android;1;91
74;YVGIUI9K;Participant_0274;ig_274@study.com;;iOS;1;91
74;KHZLM72J;Participant_0474;ig_474@study.com;;iOS;1;91
75;EYN9382K;Participant_0075;;cg_75@study.com;Android;2;24
75;KZMPJRHT;Participant_0275;;cg_275@study.com;Android;2;24
75;7ZEWVIYT;Participant_0475;;cg_475@study.com;iOS;2;24
76;WBOZD1AT;Participant_0076;;cg_76@study.com;Android;2;24
76;7O75RH8L;Participant_0276;;cg_276@study.com;iOS;2;24
76;X6DUT076;Participant_0476;;cg_476@study.com;iOS;2;24
77;G5G79OR7;Participant_0077;;cg_77@study.com;Android;2;24
77;875AUD9K;Participant_0277;;cg_277@study.com;Android;2;24
77;9TR74QGE;Participant_0477;;cg_477@study.com;Android;2;24
78;FQJG02U1;Participant_0078;ig_78@study.com;;Android;1;91
78;G463SDYG;Participant_0278;ig_278@study.com;;iOS;1;91
78;FLIJI18K;Participant_0478;ig_478@study.com;;Android;1;91
79;0AXYCELO;Participant_0079;;cg_79@study.com;Android;2;24
79;S6ZLE6KW;Participant_0279;;cg_279@study.com;Android;2;24
79;HEF0VOTQ;Participant_0479;;cg_479@study.com;iOS;2;24
80;TXHI15CQ;Participant_0080;ig_80@study.com;;Android;1;91
80;ZCUCTSUF;Participant_0280;ig_280@study.com;;iOS;1;91
80;LSEHUDS3;Participant_0480;ig_480@study.com;;iOS;1;91
81;QSQCQ30O;Participant_0081;ig_81@study.com;;Android;1;91
81;30UBMC97;Participant_0281;ig_281@study.com;;iOS;1;91
81;C7BO119X;Participant_0481;ig_481@study.com;;Android;1;91
82;P9N56NYX;Participant_0082;;cg_82@study.com;iOS;2;24
82;TXMGTT0I;Participant_0282;;cg_282@study.com;iOS;2;24
82;AAKYTT3I;Participant_0482;;cg_482@study.com;iOS;2;24
83;MJ70E3P1;Participant_0083;ig_83@study.com;;Android;1;91
83;5AHDBVZB;Participant_0283;ig_283@study.com;;Android;1;91
83;0OIH5CSK;Participant_0483;ig_483@study.com;;Android;1;91
84;30LVYLKF;Participant_0084;;cg_84@study.com;Android;2;24
84;XHKC856W;Participant_0284;;cg_284@study.com;Android;2;24
84;PR97Y2LO;Participant_0484;;cg_484@study.com;Android;2;24
85;FN1R4KZ3;Participant_0085;ig_85@study.com;;Android;1;91
85;6U8UEIHX;Participant_0285;ig_285@study.com;;iOS;1;91
85;74D0GJYV;Participant_0485;ig_485@study.com;;Android;1;91
86;5G10UR5L;Participant_0086;;cg_86@study.com;iOS;2;24
86;8A78E9RI;Participant_0286;;cg_286@study.com;Android;2;24
86;VH6T1NTM;Participant_0486;;cg_486@study.com;Android;2;24
87;JSRD9Q46;Participant_0087;ig_87@study.com;;Android;1;91
87;NOUHFJ7U;Participant_0287;ig_287@study.com;;iOS;1;91
87;PFLN4RXY;Participant_0487;ig_487@study.com;;iOS;1;91
88;J38XRG2G;Participant_0088;;cg_88@study.com;iOS;2;24
88;ZR7TXCB4;Participant_0288;;cg_288@study.com;Android;2;24
88;8Y1O4IZA;Participant_0488;;cg_488@study.com;Android;2;24
89;SNWYWRRA;Participant_0089;;cg_89@study.com;Android;2;24
89;TATJ9A3Y;Participant_0289;;cg_289@study.com;Android;2;24
89;36DDFGS3;Participant_0489;;cg_489@study.com;Android;2;24
90;JONOU9IY;Participant_0090;ig_90@study.com;;iOS;1;91
90;4X41DNTC;Participant_0290;ig_290@study.com;;iOS;1;91
90;AGRP2U4D;Participant_0490;ig_490@study.com;;iOS;1;91
91;TBH55RBC;Participant_0091;ig_91@study.com;;iOS;1;91
91;76UB7L8V;Participant_0291;ig_291@study.com;;Android;1;91
91;1ZOCFI4O;Participant_0491;ig_491@study.com;;Android;1;91
92;6L1F90S9;Participant_0092;ig_92@study.com;;Android;1;91
92;BP4M18O1;Participant_0292;ig_292@study.com;;iOS;1;91
92;BJ9RM7PY;Participant_0492;ig_492@study.com;;iOS;1;91
93;XDW2ZCFZ;Participant_0093;ig_93@study.com;;Android;1;91
93;W0LDALMJ;Participant_0293;ig_293@study.com;;Android;1;91
93;EGQTOAMD;Participant_0493;ig_493@study.com;;iOS;1;91
94;VLNKND66;Participant_0094;;cg_94@study.com;Android;2;24
94;9UGNEKRC;Participant_0294;;cg_294@study.com;Android;2;24
94;PPRCJIWV;Participant_0494;;cg_494@study.com;Android;2;24
95;HDK8LW2L;Participant_0095;ig_95@study.com;;Android;1;91
95;M349EL8H;Participant_0295;ig_295@study.com;;iOS;1;91
95;L88KZRUI;Participant_0495;ig_495@study.com;;iOS;1;91
96;N3OEUVTY;Participant_0096;;cg_96@study.com;Android;2;24
96;T8QZPKY3;Participant_0296;;cg_296@study.com;iOS;2;24
96;2ORWIXZ2;Participant_0496;;cg_496@study.com;Android;2;24
97;C9ROS7YT;Participant_0097;;cg_97@study.com;Android;2;24
97;2M6TWD1X;Participant_0297;;cg_297@study.com;Android;2;24
97;MXB9YO18;Participant_0497;;cg_497@study.com;Android;2;24
98;PAJSSUUQ;Participant_0098;ig_98@study.com;;Android;1;91
98;O1VSMADO;Participant_0298;ig_298@study.com;;Android;1;91
98;8E7FLQHR;Participant_0498;ig_498@study.com;;Android;1;91
99;RPZLK3E4;Participant_0099;;cg_99@study.com;iOS;2;24
99;XYF9IGFU;Participant_0299;;cg_299@study.com;Android;2;24
99;8IOGXPBW;Participant_0499;;cg_499@study.com;Android;2;24
100;HVNZH13C;Participant_0100;;cg_100@study.com;iOS;2;24
100;D5GLQJ5S;Participant_0300;;cg_300@study.com;Android;2;24
100;XVWVM4W3;Participant_0500;;cg_500@study.com;iOS;2;24
101;ZKWDEEKG;Participant_0101;;cg_101@study.com;iOS;2;24
101;YSPENGWY;Participant_0301;;cg_301@study.com;Android;2;24
101;X9TRFLQB;Participant_0501;;cg_501@study.com;iOS;2;24
102;MAE38SRY;Participant_0102;ig_102@study.com;;iOS;1;91
102;O4RCB1KJ;Participant_0302;ig_302@study.com;;Android;1;91
102;TGQ01TEE;Participant_0502;ig_502@study.com;;iOS;1;91
103;13N3BZT9;Participant_0103;ig_103@study.com;;Android;1;91
103;D31K9QM3;Participant_0303;ig_303@study.com;;Android;1;91
103;P91I3VMZ;Participant_0503;ig_503@study.com;;iOS;1;91
104;WFFHHCMK;Participant_0104;ig_104@study.com;;Android;1;91
104;TLZKJ49Y;Participant_0304;ig_304@study.com;;Android;1;91
104;D82795E5;Participant_0504;ig_504@study.com;;iOS;1;91
105;IZ31YRUJ;Participant_0105;ig_105@study.com;;Android;1;91
105;OQW5DSK7;Participant_0305;ig_305@study.com;;Android;1;91
105;N8LA100Q;Participant_0505;ig_505@study.com;;Android;1;91
106;XMCTHPHJ;Participant_0106;;cg_106@study.com;Android;2;24
106;3MUURMYB;Participant_0306;;cg_306@study.com;Android;2;24
106;D2QE4PA8;Participant_0506;;cg_506@study.com;iOS;2;24
107;HYEXF7JX;Participant_0107;ig_107@study.com;;Android;1;91
107;JN6FOKZI;Participant_0307;ig_307@study.com;;Android;1;91
107;XZAREIYA;Participant_0507;ig_507@study.com;;iOS;1;91
108;Z39PECN0;Participant_0108;;cg_108@study.com;Android;2;24
108;DL5E11E9;Participant_0308;;cg_308@study.com;Android;2;24
108;FTAXP0WF;Participant_0508;;cg_508@study.com;iOS;2;24
109;OY4DD1VN;Participant_0109;ig_109@study.com;;Android;1;91
109;8LFJDTVV;Participant_0309;ig_309@study.com;;Android;1;91
109;2Y4XKSS0;Participant_0509;ig_509@study.com;;iOS;1;91
110;KB68RERV;Participant_0110;ig_110@study.com;;iOS;1;91
110;T997E4UN;Participant_0310;ig_310@study.com;;iOS;1;91
110;Y181ACJB;Participant_0510;ig_510@study.com;;iOS;1;91
111;C2SWSOZC;Participant_0111;ig_111@study.com;;iOS;1;91
111;TWJLSH3T;Participant_0311;ig_311@study.com;;iOS;1;91
111;OW4YCZ04;Participant_0511;ig_511@study.com;;Android;1;91
112;CDPQVL00;Participant_0112;;cg_112@study.com;Android;2;24
112;EZZF8S2Z;Participant_0312;;cg_312@study.com;Android;2;24
112;GE2J51B3;Participant_0512;;cg_512@study.com;iOS;2;24
113;JCZUCQMR;Participant_0113;;cg_113@study.com;Android;2;24
113;UNJDU0IS;Participant_0313;;cg_313@study.com;Android;2;24
113;B5IQNF74;Participant_0513;;cg_513@study.com;Android;2;24
114;T60PLOZJ;Participant_0114;;cg_114@study.com;Android;2;24
114;CNS6G298;Participant_0314;;cg_314@study.com;iOS;2;24
114;CQK4LTAH;Participant_0514;;cg_514@study.com;iOS;2;24
115;UKWQVR1H;Participant_0115;;cg_115@study.com;Android;2;24
115;61IAOIM4;Participant_0315;;cg_315@study.com;iOS;2;24
115;58AX40DT;Participant_0515;;cg_515@study.com;iOS;2;24
116;IRC9ZD76;Participant_0116;ig_116@study.com;;iOS;1;91
116;SZN9DDE3;Participant_0316;ig_316@study.com;;Android;1;91
116;CUP8IJL2;Participant_0516;ig_516@study.com;;Android;1;91
117;Z0LJCH2V;Participant_0117;;cg_117@study.com;Android;2;24
117;FFQOT8HL;Participant_0317;;cg_317@study.com;Android;2;24
117;JEFY3ZB4;Participant_0517;;cg_517@study.com;Android;2;24
118;LDIMSYJ9;Participant_0118;ig_118@study.com;;Android;1;91
118;BOQ0IQ2F;Participant_0318;ig_318@study.com;;Android;1;91
118;A39E3NWX;Participant_0518;ig_518@study.com;;Android;1;91
119;UJ3AC6PE;Participant_0119;;cg_119@study.com;Android;2;24
119;63LBQGU3;Participant_0319;;cg_319@study.com;Android;2;24
119;OBYGHGK5;Participant_0519;;cg_519@study.com;Android;2;24
120;BWIKOTCK;Participant_0120;ig_120@study.com;;Android;1;91
120;EH5SW229;Participant_0320;ig_320@study.com;;Android;1;91
120;2MTR6SNG;Participant_0520;ig_520@study.com;;Android;1;91
121;LH62C9T1;Participant_0121;ig_121@study.com;;Android;1;91
121;99DXJ37C;Participant_0321;ig_321@study.com;;Android;1;91
121;9H42M44G;Participant_0521;ig_521@study.com;;iOS;1;91
122;V3Z6BZ8U;Participant_0122;;cg_122@study.com;iOS;2;24
122;UG95RLRD;Participant_0322;;cg_322@study.com;Android;2;24
122;IHSA7HEZ;Participant_0522;;cg_522@study.com;iOS;2;24
123;74LAV714;Participant_0123;;cg_123@study.com;iOS;2;24
123;48N7ODKE;Participant_0323;;cg_323@study.com;iOS;2;24
123;F828XG8Y;Participant_0523;;cg_523@study.com;Android;2;24
124;72IVGLYE;Participant_0124;ig_124@study.com;;iOS;1;91
124;088O98BV;Participant_0324;ig_324@study.com;;iOS;1;91
124;78HU7F0I;Participant_0524;ig_524@study.com;;iOS;1;91
125;9G5DZX5Q;Participant_0125;;cg_125@study.com;Android;2;24
125;JICJDAN0;Participant_0325;;cg_325@study.com;Android;2;24
125;85RNTDR5;Participant_0525;;cg_525@study.com;Android;2;24
126;XYFC4KL8;Participant_0126;ig_126@study.com;;Android;1;91
126;CGN0T6DV;Participant_0326;ig_326@study.com;;Android;1;91
126;WRB7F6FD;Participant_0526;ig_526@study.com;;iOS;1;91
127;HGZZ0JKI;Participant_0127;;cg_127@study.com;Android;2;24
127;BU4FMPKX;Participant_0327;;cg_327@study.com;Android;2;24
127;VHAGKC4L;Participant_0527;;cg_527@study.com;Android;2;24
128;ORXDTG5N;Participant_0128;;cg_128@study.com;Android;2;24
128;QJQIJC1Y;Participant_0328;;cg_328@study.com;iOS;2;24
128;DMT8VT43;Participant_0528;;cg_528@study.com;iOS;2;24
129;PT5R5RC6;Participant_0129;;cg_129@study.com;Android;2;24
129;ZS62YWE1;Participant_0329;;cg_329@study.com;Android;2;24
129;G983EP9P;Participant_0529;;cg_529@study.com;iOS;2;24
130;9W4J66CN;Participant_0130;;cg_130@study.com;Android;2;24
130;OLJQ52WS;Participant_0330;;cg_330@study.com;iOS;2;24
130;POFV177U;Participant_0530;;cg_530@study.com;Android;2;24
131;DKTMONRV;Participant_0131;ig_131@study.com;;Android;1;91
131;BJFVYB6L;Participant_0331;ig_331@study.com;;iOS;1;91
131;I076A3KK;Participant_0531;ig_531@study.com;;Android;1;91
132;RZD5E9P3;Participant_0132;ig_132@study.com;;Android;1;91
132;JPXGH301;Participant_0332;ig_332@study.com;;iOS;1;91
132;53SFLSE4;Participant_0532;ig_532@study.com;;iOS;1;91
